session,car,from,to,cycle_sec,cycle_min
S1_0520_오후,1호기,13:14:56,13:19:45,289,4.8167
S1_0520_오후,1호기,13:19:45,13:23:37,232,3.8667
S1_0520_오후,1호기,13:23:37,13:26:44,187,3.1167
S1_0520_오후,1호기,13:26:44,13:29:16,152,2.5333
S1_0520_오후,1호기,13:29:16,13:33:28,252,4.2
S1_0520_오후,2호기,13:12:22,13:16:10,228,3.8
S1_0520_오후,2호기,13:16:10,13:20:30,260,4.3333
S1_0520_오후,2호기,13:20:30,13:23:58,208,3.4667
S1_0520_오후,2호기,13:23:58,13:27:28,210,3.5
S1_0520_오후,2호기,13:27:28,13:30:55,207,3.45
S1_0520_오후,3호기,13:13:06,13:19:09,363,6.05
S1_0520_오후,3호기,13:19:09,13:25:03,354,5.9
S1_0520_오후,3호기,13:25:03,13:30:24,321,5.35
S2_0521_오전,1호기,8:40:39,8:44:35,236,3.9333
S2_0521_오전,1호기,8:44:35,8:52:07,452,7.5333
S2_0521_오전,1호기,8:52:07,9:00:30,503,8.3833
S2_0521_오전,2호기,8:42:59,8:46:46,227,3.7833
S2_0521_오전,2호기,8:46:46,8:50:56,250,4.1667
S2_0521_오전,2호기,8:50:56,8:53:21,145,2.4167
S2_0521_오전,2호기,8:53:21,8:56:00,159,2.65
S2_0521_오전,2호기,8:56:00,8:58:40,160,2.6667
S2_0521_오전,2호기,8:58:40,9:01:07,147,2.45
S2_0521_오전,2호기,9:01:07,9:03:07,120,2.0
S2_0521_오전,3호기,8:42:03,8:44:55,172,2.8667
S2_0521_오전,3호기,8:44:55,8:47:08,133,2.2167
S2_0521_오전,3호기,8:47:08,8:49:00,112,1.8667
S2_0521_오전,3호기,8:49:00,8:54:23,323,5.3833
S2_0521_오전,3호기,8:54:23,8:57:30,187,3.1167
S2_0521_오전,3호기,8:57:30,9:00:31,181,3.0167
S2_0521_오전,3호기,9:00:31,9:03:32,181,3.0167
S3_0521_오후,1호기,14:42:20,14:48:45,385,6.4167
S3_0521_오후,1호기,14:48:45,14:54:38,353,5.8833
S3_0521_오후,1호기,14:54:38,15:03:58,560,9.3333
S3_0521_오후,2호기,14:43:38,14:49:08,330,5.5
S3_0521_오후,2호기,14:49:08,14:53:52,284,4.7333
S3_0521_오후,2호기,14:53:52,14:59:14,322,5.3667
S3_0521_오후,2호기,14:59:14,15:02:11,177,2.95
S3_0521_오후,3호기,14:42:54,14:45:35,161,2.6833
S3_0521_오후,3호기,14:45:35,14:48:27,172,2.8667
S3_0521_오후,3호기,14:48:27,14:53:39,312,5.2
S3_0521_오후,3호기,14:53:39,14:58:17,278,4.6333
S3_0521_오후,3호기,14:58:17,15:02:37,260,4.3333
